date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:49:39	104/104	---MCZ	200	added ('OK')	text/plain	etag:W/%229b52837e7b5937b3dc47f21873a0da40%22	https://www.redapt.com/robots.txt		(from )
11:49:39	51454/51454	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Dec%202020%2006:19:39%20GMT	https://www.redapt.com/	C:/My%20Web%20Sites/att/www.redapt.com/index.html	(from )
11:49:41	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2023%20Dec%202020%2006:19:41%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/att/www.googletagmanager.com/gtm.25445.delayed	(from https://www.redapt.com/)
11:49:42	47051/47051	---MC-	200	added ('OK')	text/javascript	date:Fri,%2023%20Oct%202020%2003:00:57%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/att/www.google-analytics.com/analytics.js	(from https://www.redapt.com/)
11:49:45	95931/95931	---MCZ	200	added ('OK')	application/javascript	etag:W/%225790ead7ad3ba27397aedfa3d263b867%22	https://www.redapt.com/hs/hsstatic/jquery-libs/static-1.4/jquery/jquery-1.11.2.js	C:/My%20Web%20Sites/att/www.redapt.com/hs/hsstatic/jquery-libs/static-1.4/jquery/jquery-1.11.2.js	(from https://www.redapt.com/)
11:49:46	23713/23713	---M-Z	200	added ('OK')	text/css	date:Wed,%2023%20Dec%202020%2006:19:46%20GMT	https://use.typekit.net/wrm2ixr.css	C:/My%20Web%20Sites/att/use.typekit.net/wrm2ixr.css	(from https://www.redapt.com/)
11:49:47	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221544639720%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/att/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://www.redapt.com/)
11:49:50	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Dec%202020%2006:19:49%20GMT	http://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.js	C:/My%20Web%20Sites/att/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.6.delayed	(from https://www.redapt.com/)
11:49:50	95931/95931	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	C:/My%20Web%20Sites/att/ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	(from https://www.redapt.com/)
11:49:51	42863/42863	---M-Z	200	added ('OK')	application/javascript	etag:W/%22a76f-O0GzvJVmhQFaNHoiOOcdsp36Dbs%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.js	C:/My%20Web%20Sites/att/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.js	(from https://www.redapt.com/)
